30|Gjennom nesten ti år har arbeidet også omfattet utleie av næringslokaler og veiledning av mindre virksomheter om deres behov og rammer. Den tette kontakten med bedriftenes hverdag har gitt konkret innsikt i oppstart, drift, vekst og utfordringene som følger med.|For almost ten years, the work has also included leasing commercial premises and advising smaller businesses on their needs and working environments. Close contact with everyday business life has provided practical insight into starting up, running and growing a business, and the challenges involved.|Seit fast zehn Jahren gehören auch die Vermietung von Gewerberäumen und die Beratung kleinerer Unternehmen zu ihren Anforderungen und Rahmenbedingungen dazu. Die Nähe zum Geschäftsalltag bietet konkrete Einblicke in Gründung, Betrieb, Wachstum und die damit verbundenen Herausforderungen.
31|Erfaring omsatt til rådgivning|Experience translated into advice|Erfahrung als Grundlage der Beratung
33|Utvikling og eierskap|Development & ownership|Entwicklung & Eigentümerschaft
34|Forståelse for arbeidet fra den første ideen til en virksomhet med kunder, ansvar og en retning.|Understanding the work involved from the first idea to a business with customers, responsibilities and a direction.|Verständnis für den Weg von der ersten Idee zu einem Unternehmen mit Kunden, Verantwortung und einer klaren Richtung.
36|Drift og hverdagen|Operations & everyday business|Betrieb & Geschäftsalltag
37|Innsikt i de praktiske vilkårene mindre virksomheter skal lykkes under — fra lokaler til prioriteringer og utvikling.|Insight into the practical conditions smaller businesses need to succeed — from premises to priorities and development.|Einblick in die praktischen Bedingungen, unter denen kleinere Unternehmen erfolgreich arbeiten müssen — von Räumlichkeiten über Prioritäten bis zur Entwicklung.
39|Avklaring og beslutninger|Clarity & decisions|Klärung & Entscheidungen
40|Oversikt over interesser, muligheter og konsekvenser når situasjonen er kompleks eller samarbeidet har låst seg.|An overview of interests, options and consequences when a situation is complex or collaboration has stalled.|Überblick über Interessen, Möglichkeiten und Folgen, wenn eine Situation komplex ist oder die Zusammenarbeit feststeckt.
41|Arbeidsform|How we work|Arbeitsweise
42|Virksomheten først.|Business first.|Das Unternehmen steht im Mittelpunkt.
43|Waltham tar utgangspunkt i den konkrete virksomheten og oppgaven som skal løses. Arbeidet begynner med å forstå situasjonen, undersøke mulighetene og skape et grunnlag for handling.|Waltham starts with the individual business and the task at hand. The work begins by understanding the situation, exploring the options and creating a basis for action.|Waltham geht vom konkreten Unternehmen und der jeweiligen Aufgabe aus. Zunächst gilt es, die Situation zu verstehen, Möglichkeiten zu prüfen und eine Grundlage für das Handeln zu schaffen.
44|Teknologi og AI brukes når de kan gjøre arbeidet bedre. Rådgivningen bygger på praktisk erfaring, en undersøkende tilnærming og respekt for at beslutninger skal fungere i hverdagen.|Technology and AI are used where they can improve the work. Our advice draws on practical experience, an enquiring approach and an understanding that decisions must work in everyday business.|Technologie und KI kommen zum Einsatz, wenn sie die Arbeit verbessern. Die Beratung beruht auf praktischer Erfahrung, einer prüfenden Herangehensweise und dem Anspruch, dass Entscheidungen im Alltag funktionieren müssen.
45|Hver oppgave får et tydelig formål, et avtalt omfang og konkrete neste skritt.|Every assignment has a clear purpose, an agreed scope and concrete next steps.|Jeder Auftrag erhält ein klares Ziel, einen vereinbarten Umfang und konkrete nächste Schritte.
46|Se hva vi arbeider med →|See what we work on →|Erfahren Sie, woran wir arbeiten →
47|Et annet blikk på virksomheten din.|A different perspective on your business.|Ein anderer Blick auf Ihr Unternehmen.
48|Fortell om situasjonen, så avklarer vi om Waltham kan hjelpe.|Tell us about your situation, and let’s establish whether Waltham can help.|Schildern Sie Ihre Situation, und wir klären, ob Waltham helfen kann.
49|La oss snakke sammen ↗|Let’s talk ↗|Lassen Sie uns sprechen ↗
50|Uavhengig forretningsrådgivning · Nyborg · Oslo · Norden|Independent business advisory · Nyborg · Oslo · The Nordics|Unabhängige Unternehmensberatung · Nyborg · Oslo · Nordische Länder
52|Fastlåste situasjoner — Waltham|When business gets stuck — Waltham|Festgefahrene Situationen — Waltham
53|Waltham hjelper eiere og ledere med oversikt, avklaring og konkrete neste skritt når beslutninger eller samarbeid har låst seg.|Waltham helps owners and managers gain clarity and identify practical next steps when decisions or working relationships have stalled.|Waltham unterstützt Eigentümer und Führungskräfte mit Überblick, Klärung und konkreten nächsten Schritten, wenn Entscheidungen oder die Zusammenarbeit feststecken.
54|Fastlåste situasjoner · Avklaring og problemløsning|When business gets stuck · Clarity and problem-solving|Festgefahrene Situationen · Klärung und Problemlösung
55|Når virksomheten|When your business|Wenn Ihr Unternehmen
56|har kjørt seg fast.|gets stuck.|feststeckt.
57|Uenighet mellom eiere. Et samarbeid som ikke fungerer. En viktig beslutning som ingen får tatt.|Disagreement between owners. A working relationship that isn’t working. An important decision that nobody makes.|Uneinigkeit zwischen Eigentümern. Eine Zusammenarbeit, die nicht funktioniert. Eine wichtige Entscheidung, die niemand trifft.
58|La oss snakke om situasjonen →|Let’s discuss the situation →|Sprechen wir über die Situation →
59|Oversikt før handling|Understanding before action|Überblick vor dem Handeln
60|Finn en vei videre.|Find a way forward.|Einen Weg nach vorn finden.
61|Waltham hjelper eiere og ledere med å skape oversikt i vanskelige situasjoner, forstå de ulike interessene og finne en realistisk vei videre.|Waltham helps owners and managers gain an overview of difficult situations, understand the different interests involved and find a realistic way forward.|Waltham hilft Eigentümern und Führungskräften, schwierige Situationen zu überblicken, unterschiedliche Interessen zu verstehen und einen realistischen Weg nach vorn zu finden.
62|Oppgaven kan være en uenighet om virksomhetens retning, uklare forventninger i et partnerskap eller et prosjekt som har strandet mellom personer og beslutninger.|The issue may be a disagreement about the business’s direction, unclear expectations in a partnership or a project stalled between people and decisions.|Es kann um Uneinigkeit über die Unternehmensrichtung, unklare Erwartungen in einer Partnerschaft oder ein Projekt gehen, das zwischen Beteiligten und Entscheidungen steckengeblieben ist.
63|Arbeidet begynner med en fortrolig samtale og et klart mandat. Målet er å gjøre situasjonen oversiktlig og neste skritt mulig.|The work begins with a confidential conversation and a clear mandate. The aim is to make the situation understandable and the next step possible.|Die Arbeit beginnt mit einem vertraulichen Gespräch und einem klaren Auftrag. Ziel ist es, die Situation überschaubar zu machen und den nächsten Schritt zu ermöglichen.
64|Et avgrenset avklaringsforløp|A focused process for finding clarity|Ein klar begrenzter Klärungsprozess
65|Fra fastlåst|From being stuck|Vom Stillstand
66|til neste skritt.|to the next step.|zum nächsten Schritt.
67|Forstå situasjonen|Understand the situation|Die Situation verstehen
68|Hva har skjedd, hvem er involvert, og hva står på spill? Fakta, interesser og uenigheter avdekkes.|What happened, who is involved and what is at stake? Bring the facts, interests and disagreements into view.|Was ist geschehen, wer ist beteiligt und was steht auf dem Spiel? Fakten, Interessen und Meinungsverschiedenheiten werden offengelegt.
69|Finn handlingsmulighetene|Identify the options|Handlungsmöglichkeiten finden
70|Hvilke valg er realistiske, hva krever de, og hvilke konsekvenser kan de få for virksomheten og de involverte?|Which options are realistic, what do they require and what could they mean for the business and the people involved?|Welche Optionen sind realistisch, was erfordern sie und welche Folgen können sie für das Unternehmen und die Beteiligten haben?
71|Gjør neste skritt konkret|Make the next step concrete|Den nächsten Schritt konkret machen
72|Et beslutningsgrunnlag og en avtalt vei videre: en samtale, en beslutning eller en plan med tydelig ansvar.|A basis for making decisions and an agreed way forward: a conversation, a decision or a plan with clear responsibilities.|Eine Entscheidungsgrundlage und ein vereinbarter Weg nach vorn: ein Gespräch, eine Entscheidung oder ein Plan mit klaren Zuständigkeiten.
73|En tydelig rolle|A clear role|Eine klare Rolle
74|Et klart mandat.|A clear mandate.|Ein klarer Auftrag.
75|Et realistisk mål.|A realistic goal.|Ein realistisches Ziel.
76|Waltham kan være en fortrolig sparringspartner for en eier eller leder, eller hjelpe flere parter med en felles avklaringsprosess. Rollen og rammene avtales fra starten, slik at alle vet hvem rådgivningen er til for.|Waltham can be a confidential sounding board for an owner or manager, or help several parties work through a shared clarification process. The role and scope are agreed at the outset, so everyone knows whose interests the advisory work serves.|Waltham kann vertraulicher Gesprächspartner eines Eigentümers oder einer Führungskraft sein oder mehrere Parteien in einem gemeinsamen Klärungsprozess unterstützen. Rolle und Rahmen werden zu Beginn vereinbart, damit allen klar ist, wem die Beratung dient.
77|Fokuset er på virksomheten, dialogen og mulighetene. Når det er behov for juridisk eller annen spesialisert bistand, avgrenses arbeidet mot de relevante rådgivernes oppgaver.|The focus is on the business, the dialogue and the options. Where legal or other specialist assistance is needed, the work is scoped in relation to the relevant advisers’ responsibilities.|Im Mittelpunkt stehen das Unternehmen, der Dialog und die Möglichkeiten. Wenn rechtliche oder andere fachliche Unterstützung benötigt wird, wird die Arbeit gegenüber den Aufgaben der jeweiligen Berater abgegrenzt.
78|Et godt resultat kan være bedre samarbeid, en tydelig beslutning eller en ryddig avslutning. Retningen avhenger av den konkrete situasjonen.|A good outcome may be better collaboration, a clear decision or an orderly conclusion. The direction depends on the individual situation.|Ein gutes Ergebnis kann eine bessere Zusammenarbeit, eine klare Entscheidung oder ein geordneter Abschluss sein. Die Richtung hängt von der konkreten Situation ab.
79|En fortrolig første samtale|A confidential first conversation|Ein vertrauliches Erstgespräch
80|Hva står i veien?|What is getting in the way?|Was steht im Weg?
81|Vi begynner med å avklare situasjonen og om Waltham er den rette hjelpen.|We start by clarifying the situation and whether Waltham is the right fit.|Zunächst klären wir die Situation und ob Waltham die passende Unterstützung bietet.
82|La oss snakke om situasjonen ↗|Let’s discuss the situation ↗|Sprechen wir über die Situation ↗
85|Kan AI finne og forstå virksomheten din? Få en første oversikt med Waltham AI Visibility Check og konkrete neste skritt.|Can AI find and understand your business? Get an initial overview and practical next steps with Waltham AI Visibility Check.|Kann KI Ihr Unternehmen finden und verstehen? Erhalten Sie mit dem Waltham AI Visibility Check einen ersten Überblick und konkrete nächste Schritte.
86|Gå til nettsidetesten|Skip to website check|Zum Website-Check
87|Waltham, forsiden|Waltham, home|Waltham, Startseite
89|Hvis ingen vet,|If nobody knows|Wenn niemand weiß,
90|hvor du bor,|where you are,|wo Sie sind,
91|får du heller ikke besøk.|nobody comes to visit.|kommt auch niemand zu Besuch.
92|Når kunder spør AI, må virksomheten din være mulig å finne og forstå. Test nettsiden din og se hva som kan stå i veien.|When customers ask AI, your business needs to be easy to find and understand. Check your website to see what might be getting in the way.|Wenn Kunden KI fragen, muss Ihr Unternehmen auffindbar und verständlich sein. Prüfen Sie Ihre Website und erfahren Sie, was im Weg stehen könnte.
93|Start med nettsiden din|Start with your website|Beginnen Sie mit Ihrer Website
95|dinbedrift.no|yourbusiness.com|ihrunternehmen.de
96|Kan AI finne virksomheten min?|Can AI find my business?|Kann KI mein Unternehmen finden?
98|Gratis førstesjekk · Ingen registrering · Offentlig innhold|Free initial check · No registration · Public content|Kostenloser Erstcheck · Ohne Registrierung · Öffentliche Inhalte
99|Gjør testen mer relevant|Make the check more relevant|Machen Sie den Check aussagekräftiger
100|Valgfritt|Optional|Optional
101|Virksomhetsnavn|Business name|Unternehmensname
102|Hva heter virksomheten?|What is your business called?|Wie heißt Ihr Unternehmen?
103|Viktigste tjeneste|Main service|Wichtigste Leistung
104|F.eks. personlig bankrådgivning|E.g. personal banking advice|Z. B. persönliche Bankberatung
105|Område eller målgruppe|Area or target audience|Region oder Zielgruppe
106|F.eks. privatpersoner og bedrifter i Oslo|E.g. households and businesses in London|Z. B. Privatpersonen und Unternehmen in Hamburg
107|Slik vil vi gjerne bli oppfattet|How we would like to be perceived|So möchten wir wahrgenommen werden
108|F.eks. lokal, personlig, tilgjengelig|E.g. local, personal, approachable|Z. B. lokal, persönlich, erreichbar
109|Skill de viktigste ordene eller uttrykkene med komma.|Separate the key words or phrases with commas.|Trennen Sie die wichtigsten Wörter oder Ausdrücke durch Kommas.
110|En oversikt. Konkrete neste skritt.|An overview. Practical next steps.|Ein Überblick. Konkrete nächste Schritte.
111|Slik vurderer vi →|How we assess your website →|So bewerten wir →
112|Din første oversikt.|Your initial overview.|Ihr erster Überblick.
113|Lagre resultat|Save result|Ergebnis speichern
115|Foreløpig|Preliminary|Vorläufig
117|AI Visibility Risk:|AI Visibility Risk:|KI-Sichtbarkeitsrisiko:
118|Her begynner du|Start here|Hier beginnen Sie
119|Viktigste neste skritt|Priority next steps|Die wichtigsten nächsten Schritte
121|Kommer AI til innholdet?|Can AI access your content?|Kann KI auf Ihre Inhalte zugreifen?
123|Er virksomheten tydelig?|Is your business clearly described?|Ist Ihr Unternehmen klar beschrieben?
125|Blir dere anbefalt?|Are you recommended?|Werden Sie empfohlen?
126|Ikke målt ennå.|Not yet measured.|Noch nicht gemessen.
127|En teknisk test kan ikke dokumentere hvem AI nevner. Konkurrenter vises først når de er observert i faktiske svar.|A technical check cannot establish who AI mentions. Competitors are only shown once observed in actual responses.|Ein technischer Check kann nicht belegen, wen KI nennt. Wettbewerber werden erst angezeigt, wenn sie in tatsächlichen Antworten beobachtet wurden.
128|Separat vurdering · Kundens inntrykk|Separate assessment · Customer perception|Separate Bewertung · Kundenwahrnehmung
129|Bildet nettsiden gir.|The impression your website gives.|Das Bild, das Ihre Website vermittelt.
130|Et ordtreff viser bare om de valgte ordene står på siden. Det sier ikke i seg selv hvordan kunder oppfatter virksomheten.|A word match only shows whether your chosen words appear on the page. It does not establish how customers perceive the business.|Ein Worttreffer zeigt nur, ob die gewählten Wörter auf der Seite stehen. Daraus lässt sich nicht ableiten, wie Kunden das Unternehmen wahrnehmen.
131|Neste undersøkelse · AI Presence|Next assessment · AI Presence|Nächste Untersuchung · KI-Präsenz
132|Spør som kundene dine.|Ask like your customers.|Fragen Sie wie Ihre Kunden.
133|Test spørsmålene uten virksomhetsnavn i nye samtaler på minst to AI-tjenester. Lagre hele svar, dato, tjeneste, modell og kilder. Gjenta målingen og registrer hvem som nevnes i stedet.|Test the unbranded questions in fresh conversations on at least two AI services. Save the full responses, date, service, model and sources. Repeat the measurement and record who is mentioned instead.|Testen Sie die Fragen ohne Unternehmensnamen in neuen Gesprächen mit mindestens zwei KI-Diensten. Speichern Sie vollständige Antworten, Datum, Dienst, Modell und Quellen. Wiederholen Sie die Messung und halten Sie fest, wer stattdessen genannt wird.
134|Se funn og målegrunnlag|View findings and evidence|Ergebnisse und Messgrundlage ansehen
135|Hva testen ikke kan fortelle|What the check cannot tell you|Was der Check nicht aussagen kann
136|En enkel skala. Et åpent målegrunnlag.|A simple scale. A transparent method.|Eine einfache Skala. Eine transparente Messgrundlage.
137|Fra usynlig|From invisible|Von unsichtbar
138|til lettere å finne.|to easier to find.|zu leichter auffindbar.
139|Waltham AI Visibility Score er vår egen vurderingsmodell — ikke en offisiell karakter fra AI-tjenestene eller en garanti for anbefalinger.|Waltham AI Visibility Score is our own assessment model — not an official rating from AI services or a guarantee of recommendations.|Der Waltham AI Visibility Score ist unser eigenes Bewertungsmodell — keine offizielle Bewertung der KI-Dienste und keine Garantie für Empfehlungen.
140|Forklaring av skalaen|Score guide|Erklärung der Bewertung
142|Svært svakt grunnlag|Very weak foundation|Sehr schwache Grundlage
144|Svakt grunnlag|Weak foundation|Schwache Grundlage
146|Middels|Moderate|Mittel
148|Godt grunnlag|Good foundation|Gute Grundlage
150|Sterkt grunnlag|Strong foundation|Starke Grundlage
151|40 % · Tilgang|40% · Access|40 % · Zugang
152|Kan innholdet finnes?|Can the content be found?|Sind die Inhalte auffindbar?
153|Vi undersøker om innhold kan leses, om søketjenester får tilgang, og om nettsiden gir dem en oversikt over sidene.|We check whether content can be read, whether search services are allowed access and whether the website provides a page index.|Wir prüfen, ob Inhalte lesbar sind, Suchdienste Zugang erhalten und die Website eine Seitenübersicht bereitstellt.
154|30 % · Forståelighet|30% · Understanding|30 % · Verständlichkeit
155|Kan dere forstås?|Can your business be understood?|Ist Ihr Unternehmen verständlich?
156|Vi ser etter tydelige signaler om virksomhet, tilbud, geografi og målgruppe. Førstesjekken undersøker én side.|We look for clear signals about the business, its offering, location and audience. The initial check examines one page.|Wir suchen nach klaren Angaben zum Unternehmen, Angebot, Standort und zur Zielgruppe. Der Erstcheck untersucht eine Seite.
157|30 % · Tilstedeværelse|30% · Presence|30 % · Präsenz
158|Blir dere nevnt?|Are you mentioned?|Werden Sie genannt?
159|Den fulle poengsummen krever faktiske AI-svar på relevante kundespørsmål. Denne delen er ennå ikke automatisert.|The full score requires actual AI responses to relevant customer questions. This part is not yet automated.|Die vollständige Bewertung erfordert tatsächliche KI-Antworten auf relevante Kundenfragen. Dieser Teil ist noch nicht automatisiert.
160|Om foreløpig poengsum og risiko|About the preliminary score and risk|Zur vorläufigen Bewertung und zum Risiko
161|Vi gir poeng for oppfylte, målte kriterier og omregner til 1–10: 1 + 9 × oppnådde poeng / målte poeng. Ukjente resultater utelates; datadekningen vises. Førstesjekken dekker maksimalt 70 % av den fulle modellen.|We award points for measured criteria that are met and convert them to 1–10: 1 + 9 × points earned / points measured. Unknown results are excluded and coverage is shown. The initial check covers at most 70% of the full model.|Erfüllte, gemessene Kriterien erhalten Punkte, die in 1–10 umgerechnet werden: 1 + 9 × erreichte Punkte / gemessene Punkte. Unbekannte Ergebnisse werden ausgenommen; die Datenabdeckung wird angezeigt. Der Erstcheck deckt höchstens 70 % des vollständigen Modells ab.
162|Risiko beskriver svakheter i det målte grunnlaget: Høy under 4, Middels fra 4 til under 7, Lav fra 7. Selv Lav dokumenterer ikke at AI anbefaler dere. Resultatet kan endre seg når flere sider og faktiske AI-svar undersøkes.|Risk describes weaknesses in the measured foundation: High below 4, Medium from 4 to below 7, Low from 7. Even Low does not establish that AI recommends you. Results may change when more pages and actual AI responses are examined.|Das Risiko beschreibt Schwächen der gemessenen Grundlage: Hoch unter 4, Mittel von 4 bis unter 7, Niedrig ab 7. Auch Niedrig belegt keine KI-Empfehlung. Das Ergebnis kann sich ändern, wenn weitere Seiten und tatsächliche KI-Antworten untersucht werden.
163|Å velge bort bruk til AI-trening gir ikke minuspoeng. Tilgang for søketjenester og tillatelse til trening er ulike valg. Perception Gap inngår ikke i synlighetspoengsummen.|Opting out of AI training does not reduce the score. Search access and permission for training are separate choices. The perception gap is not included in the visibility score.|Ein Ausschluss vom KI-Training führt nicht zu Punktabzug. Zugang für Suchdienste und Erlaubnis zum Training sind unterschiedliche Entscheidungen. Die Wahrnehmungslücke fließt nicht in die Sichtbarkeitsbewertung ein.
164|Fra innsikt til handling|From insight to action|Von Erkenntnissen zum Handeln
165|Skal vi se nærmere på det?|Shall we take a closer look?|Sollen wir genauer hinsehen?
166|Få funnene vurdert i lys av virksomheten og kundene dine.|Have the findings assessed in the context of your business and customers.|Lassen Sie die Ergebnisse im Kontext Ihres Unternehmens und Ihrer Kunden einordnen.
167|Snakk med Waltham ↗|Talk to Waltham ↗|Mit Waltham sprechen ↗
