readable.evidence|{count} ord i den hentede side.|{count} ord på den hentede siden.|{count} words in the retrieved page.|{count} Wörter auf der abgerufenen Seite.
crawlers.label|Adgang for søgetjenester|Tilgang for søketjenester|Access for search services|Zugang für Suchdienste
crawlers.action|Gennemgå adgangsreglerne for søgetjenester. Et bevidst fravalg kan være korrekt.|Gå gjennom tilgangsreglene for søketjenester. Et bevisst fravalg kan være riktig.|Review access rules for search services. An intentional restriction may be appropriate.|Prüfen Sie die Zugangsregeln für Suchdienste. Eine bewusste Einschränkung kann richtig sein.
crawlers.unknown|Adgangsregler kunne ikke verificeres.|Tilgangsreglene kunne ikke verifiseres.|Access rules could not be verified.|Die Zugangsregeln konnten nicht überprüft werden.
allowed|tilladt|tillatt|allowed|erlaubt
restricted|begrænset|begrenset|restricted|eingeschränkt
indexable.label|Siden må vises i søgeresultater|Siden kan vises i søkeresultater|Page permitted in search results|Anzeige in Suchergebnissen zulässig
indexable.action|Undersøg, om udelukkelsen fra søgeresultater er tilsigtet.|Undersøk om utelukkelsen fra søkeresultater er tilsiktet.|Check whether exclusion from search results is intentional.|Prüfen Sie, ob der Ausschluss aus Suchergebnissen beabsichtigt ist.
indexable.yes|Ingen noindex-regel fundet i den hentede side eller svarheader.|Ingen noindex-regel funnet på den hentede siden eller i svarheaderen.|No noindex rule found in the retrieved page or response header.|Keine noindex-Regel auf der abgerufenen Seite oder im Antwortheader gefunden.
indexable.no|Der er fundet en regel, som begrænser indeksering.|Det er funnet en regel som begrenser indeksering.|A rule restricting indexing was found.|Eine Regel zur Einschränkung der Indexierung wurde gefunden.
sitemap.label|Oversigt over hjemmesidens sider|Oversikt over nettstedets sider|Index of website pages|Übersicht der Website-Seiten
sitemap.action|Tilføj en opdateret sideoversigt, og henvis til den fra hjemmesidens adgangsregler.|Legg til en oppdatert sideoversikt og henvis til den fra nettstedets tilgangsregler.|Add an up-to-date sitemap and reference it in the website’s access rules.|Erstellen Sie eine aktuelle Sitemap und verweisen Sie in den Zugangsregeln darauf.
sitemap.yes|En XML-sideoversigt blev fundet.|En XML-sideoversikt ble funnet.|An XML sitemap was found.|Eine XML-Sitemap wurde gefunden.
sitemap.no|Ingen gyldig sideoversigt på den undersøgte adresse.|Ingen gyldig sideoversikt på den undersøkte adressen.|No valid sitemap at the address checked.|Keine gültige Sitemap unter der untersuchten Adresse.
sitemap.unknown|Sideoversigten kunne ikke kontrolleres.|Sideoversikten kunne ikke kontrolleres.|The sitemap could not be checked.|Die Sitemap konnte nicht geprüft werden.
identity.label|Virksomheden er identificeret|Virksomheten er identifisert|Business identity found|Unternehmen identifiziert
identity.action|Skriv virksomhedens navn tydeligt, og forbind det med en entydig virksomhedsprofil.|Skriv virksomhetens navn tydelig og knytt det til en entydig virksomhetsprofil.|State the business name clearly and link it to an unambiguous business profile.|Geben Sie den Unternehmensnamen klar an und verbinden Sie ihn mit einem eindeutigen Unternehmensprofil.
identity.no|Intet verificeret virksomhedsnavn fundet i de undersøgte signaler.|Ingen verifisert virksomhetsidentitet funnet i de undersøkte signalene.|No verified business name found in the signals examined.|Kein bestätigter Unternehmensname in den untersuchten Signalen gefunden.
identity.text|Virksomhedsnavnet “{company}” findes i sidens tekst.|Virksomhetsnavnet «{company}» finnes i sidens tekst.|The business name “{company}” appears in the page text.|Der Unternehmensname „{company}“ erscheint im Seitentext.
offering.label|Tilbuddet er beskrevet|Tilbudet er beskrevet|Offering described|Angebot beschrieben
offering.action|Beskriv konkret, hvad I tilbyder, og hvem det hjælper.|Beskriv konkret hva dere tilbyr og hvem det hjelper.|Describe specifically what you offer and who it helps.|Beschreiben Sie konkret, was Sie anbieten und wem es hilft.
offering.no|Ingen kort sidebeskrivelse fundet.|Ingen kort sidebeskrivelse funnet.|No short page description found.|Keine kurze Seitenbeschreibung gefunden.
market.label|Geografi eller målgruppe er angivet|Geografi eller målgruppe er angitt|Location or audience specified|Region oder Zielgruppe angegeben
market.action|Angiv tydeligt jeres område og målgruppe på relevante sider.|Oppgi tydelig området og målgruppen deres på relevante sider.|Clearly state your area and audience on relevant pages.|Geben Sie Ihre Region und Zielgruppe auf relevanten Seiten klar an.
market.address|Adresse fundet i virksomhedsdata.|Adresse funnet i virksomhetsdata.|Address found in business data.|Adresse in den Unternehmensdaten gefunden.
market.audience|Område eller målgruppe fundet i virksomhedsdata.|Område eller målgruppe funnet i virksomhetsdata.|Area or audience found in business data.|Region oder Zielgruppe in den Unternehmensdaten gefunden.
market.search|Søgt efter “{market}” i sidens tekst.|Søkt etter «{market}» i sidens tekst.|Searched for “{market}” in the page text.|Im Seitentext nach „{market}“ gesucht.
market.no|Geografi/målgruppe ikke verificeret.|Geografi/målgruppe ikke verifisert.|Location/audience not verified.|Region/Zielgruppe nicht bestätigt.
entity.label|Sammenhængende virksomhedsprofil|Sammenhengende virksomhetsprofil|Connected business profile|Zusammenhängendes Unternehmensprofil
entity.action|Knyt navn, webadresse og kontaktoplysninger sammen i hjemmesidens virksomhedsdata.|Knytt navn, nettadresse og kontaktinformasjon sammen i nettstedets virksomhetsdata.|Connect the name, website address and contact details in the website’s business data.|Verknüpfen Sie Name, Webadresse und Kontaktdaten in den Unternehmensdaten Ihrer Website.
entity.yes|Virksomhedsdata fundet; navn, identitet og kontakt kontrolleret.|Virksomhetsdata funnet; navn, identitet og kontakt kontrollert.|Business data found; name, identity and contact checked.|Unternehmensdaten gefunden; Name, Identität und Kontakt geprüft.
entity.no|Ingen genkendelig virksomhedsprofil i strukturerede data.|Ingen gjenkjennelig virksomhetsprofil i strukturerte data.|No recognisable business profile in structured data.|Kein erkennbares Unternehmensprofil in strukturierten Daten.
sourceNote|Uddrag fra hjemmesiden vises på originalsproget.|Utdrag fra nettsiden vises på originalspråket.|Website excerpts are shown in their original language.|Website-Auszüge werden in der Originalsprache angezeigt.
